dt,node_num,incdec,bid_mw,clear_mw,profit,profit_congestion,node_name,rep_constraint,dfax,constraint_family_num,rep_dart,rep_pastyr_mvalue
2023-11-23,1416.0,Decrement,348.4,87.3,-2999.38287,-3025.00353,WR.VOLT.0119,567623.0,-0.04658,1224194.0,DA,-3545.899658203125
2023-11-27,737.0,Increment,216.84,98.8,2056.75402,953.21017,WFEC_BLUECAN_WIND_FARM,110.0,-0.02138,588.0,DA,-125.64800262451172
2023-11-27,737.0,Increment,216.84,98.8,2056.75402,953.21017,WFEC_BLUECAN_WIND_FARM,420263.0,0.02249,719153.0,DA,-18.904800415039062
2023-11-27,737.0,Increment,216.84,98.8,2056.75402,953.21017,WFEC_BLUECAN_WIND_FARM,443954.0,0.05662,915864.0,DA,-5541.32568359375
2023-11-27,737.0,Decrement,258.07,62.6,-193.43633,-631.92871,WFEC_BLUECAN_WIND_FARM,555533.0,0.02095,1181703.0,DA,-3206.534912109375
2024-01-22,648.0,Decrement,591.75,176.5,-167.2666599999999,-2227.9964400000003,SPRM_SWCT2,538581.0,-0.02206,257.0,DA,-9879.333984375
2024-01-22,648.0,Increment,154.75,96.0,-101.41312,-118.72512000000002,SPRM_SWCT2,473.0,0.02743,959.0,DA,-2001.6158447265625
2024-01-22,648.0,Decrement,591.75,176.5,-167.2666599999999,-2227.9964400000003,SPRM_SWCT2,585779.0,0.02879,1224345.0,DA,-1832.7440185546875
2024-03-07,420.0,Decrement,82.5,12.9,123.79874999999998,50.20116,MPSTWA1UN2,2686.0,-0.0505,904.0,DA,-24136.99609375
2024-03-26,319.0,Decrement,169.5,97.4,123.71184,-1792.52336,KMEA_EMP3_GIRA7,566845.0,0.02576,1223483.0,DA,-2606.427490234375
2024-03-26,319.0,Decrement,169.5,97.4,123.71184,-1792.52336,KMEA_EMP3_GIRA7,616030.0,0.02205,1223972.0,DA,-52.768901824951165
2024-05-08,766.0,Increment,239.895,92.10000000000002,639.8952400000002,163.81475999999998,WR.GEEC.GT3,390712.0,-0.0201,1016.0,DA,-40548.73828125
2024-08-26,1301.0,Increment,27.4,14.4,1410.2604,1589.78592,SPS.VOLT.0047,658289.0,0.05159,182.0,DA,-363.86761474609375
2024-08-26,1301.0,Increment,27.4,14.4,1410.2604,1589.78592,SPS.VOLT.0047,110.0,0.02816,588.0,DA,-65.51020050048828
2024-09-02,1490.0,Increment,167.65,35.6,280.21939999999995,-93.5188,OKGE.VOLT.0179,538581.0,-0.02329,257.0,DA,-6819.9111328125
2024-09-02,1490.0,Increment,167.65,35.6,280.21939999999995,-93.5188,OKGE.VOLT.0179,603433.0,0.10572,1223793.0,DA,-1850.99560546875
2025-02-03,101.0,Decrement,270.25,58.0,-1108.25194,-409.28324,CSWSOUTHWESTERN2,510150.0,-0.02721,258208.0,DA,-5187.2568359375
2025-02-03,882.0,Increment,6.9350000000000005,6.8,235.56472,106.9372,WAUE.BEPM.LCS2,671081.0,0.05122,1226309.0,DA,-5752.03515625
2025-02-03,882.0,Increment,6.9350000000000005,6.8,235.56472,106.9372,WAUE.BEPM.LCS2,703207.0,-0.06566,1527475.0,DA,-2.4444999694824214
2025-06-23,1117.0,Increment,416.5,84.5,-326.36285,-824.2498700000001,OKGE.CCCO.COGEN,425864.0,-0.0121,527.0,DA,-11354.4375
2025-06-23,1117.0,Increment,416.5,84.5,-326.36285,-824.2498700000001,OKGE.CCCO.COGEN,85.0,-0.056,905.0,DA,-38566.20703125
2025-06-23,1117.0,Increment,416.5,84.5,-326.36285,-824.2498700000001,OKGE.CCCO.COGEN,609027.0,-0.02682,1225043.0,DA,-1054.7305908203125
2025-06-23,1117.0,Increment,416.5,84.5,-326.36285,-824.2498700000001,OKGE.CCCO.COGEN,753082.0,0.0114,1226471.0,DA,-1437.42431640625
2025-09-15,1499.0,Increment,545.64,73.60000000000002,-977.22144,-532.45856,OKGE.VOLT.0195,291794.0,0.02568,606647.0,DA,-51132.94140625
2025-09-15,1499.0,Increment,545.64,73.60000000000002,-977.22144,-532.45856,OKGE.VOLT.0195,732873.0,0.09448,1223668.0,DA,-1717.7401123046875
2025-09-15,1499.0,Increment,545.64,73.60000000000002,-977.22144,-532.45856,OKGE.VOLT.0195,723067.0,0.0418,1223740.0,DA,-2300.54296875
2025-10-27,948.0,Increment,107.0,43.6,1860.54943,1704.0581100000002,WAUE.NWPS.COYOTE1,555067.0,0.0199,250.0,DA,-25861.685546875
2025-10-27,948.0,Increment,107.0,43.6,1860.54943,1704.0581100000002,WAUE.NWPS.COYOTE1,733856.0,0.02449,1224190.0,DA,-1234.58837890625
2025-11-10,1037.0,Decrement,128.9,13.6,770.43592,142.17032,WAUE.BEPM.BRADY2,291796.0,-0.022,409.0,DA,-8440.9560546875
2025-11-10,1037.0,Increment,315.8,128.8,2580.8896000000004,1071.06112,WAUE.BEPM.BRADY2,297585.0,0.0422,4805.0,DA,-979.1016845703124
2025-11-10,1037.0,Decrement,128.9,13.6,770.43592,142.17032,WAUE.BEPM.BRADY2,510150.0,0.07211,258208.0,DA,-2396.427734375
2025-11-10,1037.0,Decrement,128.9,13.6,770.43592,142.17032,WAUE.BEPM.BRADY2,775436.0,-0.0268,515297.0,DA,-71052.7265625
2025-11-10,1037.0,Decrement,128.9,13.6,770.43592,142.17032,WAUE.BEPM.BRADY2,753082.0,-0.0307,1226471.0,DA,-2288.9140625
2025-12-06,354.0,Decrement,713.85,152.8,1885.23424,1986.47992,MHEB,1177.0,0.02727,940.0,DA,-3252.502197265625
2025-12-06,354.0,Decrement,713.85,152.8,1885.23424,1986.47992,MHEB,318655.0,0.0256,519378.0,DA,-224.45309448242188
2025-12-22,922.0,Increment,110.5,102.4,749.04832,584.4480000000001,WAUE.MRES.EXR3,541388.0,-0.02009,761.0,DA,-4719.53125
2025-12-22,922.0,Increment,110.5,102.4,749.04832,584.4480000000001,WAUE.MRES.EXR3,573223.0,0.02197,244409.0,DA,-2601.966064453125
2025-12-22,922.0,Increment,110.5,102.4,749.04832,584.4480000000001,WAUE.MRES.EXR3,726178.0,-0.02694,1227125.0,DA,-16108.2119140625
2026-01-15,384.0,Decrement,107.75,29.7,-9.604979999999944,177.73545,MO.AE.CHIL2.MP,767983.0,-0.0413,1225056.0,DA,-6767.13916015625
