dt,constraint_family_num,dam,rtm
2025-05-02,1367414,-46.9141,0.0
2025-05-02,1414806,-491.3538,0.0
2025-05-02,1560565,-18.8078,0.0
2025-05-02,1637512,0.0,-101.9535
2025-05-02,1671070,-1.0071,0.0
2025-05-02,1671071,-19.8533,0.0
2025-05-02,1696945,0.0,-688.6459000000001
2025-05-03,53,-40.60039999999999,-10.8264
2025-05-03,268,0.0,-54.7451
2025-05-03,382,-30.5511,0.0
2025-05-03,383,0.0,-144.4495
2025-05-03,466,-9.8789,-0.5455
2025-05-03,489,-33.585,-626.2793
2025-05-03,588,-16.3895,0.0
2025-05-03,593,-320.5995,0.0
2025-05-03,845,-214.726,0.0
2025-05-03,854,-63.104699999999994,-167.2396
2025-05-03,902,-191.8294,-8.0316
2025-05-03,979,-4.917999999999999,0.0
2025-05-03,1037,0.0,-11.1465
2025-05-03,34192,-133.3714,0.0
2025-05-03,93430,0.0,-12.07
2025-05-03,156109,0.0,-38.3316
2025-05-03,283171,-135.237,0.0
2025-05-03,603360,-32.4281,0.0
2025-05-03,787132,-88.6401,0.0
2025-05-03,1121925,-92.5418,0.0
2025-05-03,1223642,-17.7768,0.0
2025-05-03,1223735,-108.6234,0.0
2025-05-03,1434909,0.0,-7.1326
2025-05-03,1662404,-23.5549,0.0
2025-05-03,1671070,-3.8725,0.0
2025-05-03,1671071,-0.1327,0.0
2025-05-04,53,-40.3077,-88.57430000000001
2025-05-04,382,-311.8978,-574.8217
2025-05-04,383,-13.0012,-11.0001
2025-05-04,466,-97.9298,-47.1082
2025-05-04,588,-74.8757,0.0
2025-05-04,593,-1327.8244,0.0
2025-05-04,845,-178.65449999999998,0.0
2025-05-04,884,-81.1496,-4.705
2025-05-04,1002,-99.3519,0.0
2025-05-04,1032,-13.9815,0.0
2025-05-04,1037,-24.8722,-19.1898
2025-05-04,1063,-155.0907,-203.4427
2025-05-04,6299,0.0,-18.486
2025-05-04,14969,-146.4854,-110.744
2025-05-04,34192,-939.6444,-35.9053
2025-05-04,93430,-21.867,-261.8711
2025-05-04,156109,-50.6903,-284.7728
2025-05-04,167423,-11.471,0.0
2025-05-04,274585,-139.1275,0.0
2025-05-04,283171,-392.8897,0.0
2025-05-04,411728,-14.8065,0.0
2025-05-04,452831,-25.3983,0.0
2025-05-04,515297,-462.3222,0.0
2025-05-04,603360,-1281.2071,0.0
2025-05-04,792695,-14.2606,0.0
2025-05-04,1121925,-1674.6088,0.0
2025-05-04,1223642,-256.9939,0.0
2025-05-04,1223800,-12.447899999999999,0.0
2025-05-04,1223829,-2.1936,0.0
2025-05-04,1223843,-1.7615,0.0
